Page,Section,Order,Element Type,Text
Advics Manufacturing,nav.mty-menu,1,listItem,Brand
Advics Manufacturing,nav.mty-menu,2,link,Brand
Advics Manufacturing,nav.mty-menu,3,listItem,Promotions
Advics Manufacturing,nav.mty-menu,4,link,Promotions
Advics Manufacturing,nav.mty-menu,5,listItem,Blog
Advics Manufacturing,nav.mty-menu,6,link,Blog
Advics Manufacturing,nav.mty-menu,7,listItem,Case Studies
Advics Manufacturing,nav.mty-menu,8,link,Case Studies
Advics Manufacturing,nav.mty-menu,9,listItem,Contact
Advics Manufacturing,nav.mty-menu,10,link,Contact
Advics Manufacturing,mty-header-nav-area,11,button,Open menu
Advics Manufacturing,header.mty-header,12,button,Close menu
Advics Manufacturing,nav.mty-menu,13,listItem,Brand
Advics Manufacturing,nav.mty-menu,14,link,Brand
Advics Manufacturing,nav.mty-menu,15,listItem,Promotions
Advics Manufacturing,nav.mty-menu,16,link,Promotions
Advics Manufacturing,nav.mty-menu,17,listItem,Blog
Advics Manufacturing,nav.mty-menu,18,link,Blog
Advics Manufacturing,nav.mty-menu,19,listItem,Case Studies
Advics Manufacturing,nav.mty-menu,20,link,Case Studies
Advics Manufacturing,nav.mty-menu,21,listItem,Contact
Advics Manufacturing,nav.mty-menu,22,link,Contact
Advics Manufacturing,main.body-container-wrapper.mty-main,23,heading,Advics Manufacturing
