Page,Section,Order,Element Type,Text
MiSTAR 555,nav.mty-menu,1,listItem,Brand
MiSTAR 555,nav.mty-menu,2,link,Brand
MiSTAR 555,nav.mty-menu,3,listItem,Promotions
MiSTAR 555,nav.mty-menu,4,link,Promotions
MiSTAR 555,nav.mty-menu,5,listItem,Blog
MiSTAR 555,nav.mty-menu,6,link,Blog
MiSTAR 555,nav.mty-menu,7,listItem,Case Studies
MiSTAR 555,nav.mty-menu,8,link,Case Studies
MiSTAR 555,nav.mty-menu,9,listItem,Contact
MiSTAR 555,nav.mty-menu,10,link,Contact
MiSTAR 555,mty-header-nav-area,11,button,Open menu
MiSTAR 555,header.mty-header,12,button,Close menu
MiSTAR 555,nav.mty-menu,13,listItem,Brand
MiSTAR 555,nav.mty-menu,14,link,Brand
MiSTAR 555,nav.mty-menu,15,listItem,Promotions
MiSTAR 555,nav.mty-menu,16,link,Promotions
MiSTAR 555,nav.mty-menu,17,listItem,Blog
MiSTAR 555,nav.mty-menu,18,link,Blog
MiSTAR 555,nav.mty-menu,19,listItem,Case Studies
MiSTAR 555,nav.mty-menu,20,link,Case Studies
MiSTAR 555,nav.mty-menu,21,listItem,Contact
MiSTAR 555,nav.mty-menu,22,link,Contact
MiSTAR 555,row-fluid-wrapper.row-depth-1,23,altText,hero
MiSTAR 555,row-fluid-wrapper.row-depth-1,24,paragraph,KAIZEN FOR EVERYBODY
MiSTAR 555,row-fluid-wrapper.row-depth-1,25,heading,MiSTAR 555 CNC
MiSTAR 555,row-fluid-wrapper.row-depth-1,26,paragraph,Complete kit bundle from:
MiSTAR 555,row-fluid-wrapper.row-depth-1,27,paragraph,49.000 €*
MiSTAR 555,row-fluid-wrapper.row-depth-1,28,paragraph,UPGRADE TOPRO-PRODUCTIVITY.
MiSTAR 555,row-fluid-wrapper.row-depth-1,29,paragraph,Built for every budget.Built for every workspace.Built for every condition.
MiSTAR 555,row-fluid-wrapper.row-depth-1,30,paragraph,*Full package contains content as described.
MiSTAR 555,main.body-container-wrapper.mty-main,31,altText,cta-teaser
MiSTAR 555,main.body-container-wrapper.mty-main,32,heading,SMART METROLOGY IS NO LONGER LAB-EXCLUSIVE!
MiSTAR 555,main.body-container-wrapper.mty-main,33,paragraph,"The only space the MiSTAR 555 takes is the space you measure in. No external PC cabinets, no inflated footprint. Just clean, condensed capabiliity."
MiSTAR 555,main.body-container-wrapper.mty-main,34,paragraph,"SMALL FOOTPRINT, BIG RANGE"
MiSTAR 555,main.body-container-wrapper.mty-main,35,paragraph,Measurement volume:
MiSTAR 555,main.body-container-wrapper.mty-main,36,paragraph,570 x 570 x 500 mm
