Page,Section,Order,Element Type,Text
QUICK VISION ACTIVE,nav.mty-menu,1,listItem,Brand
QUICK VISION ACTIVE,nav.mty-menu,2,link,Brand
QUICK VISION ACTIVE,nav.mty-menu,3,listItem,Promotions
QUICK VISION ACTIVE,nav.mty-menu,4,link,Promotions
QUICK VISION ACTIVE,nav.mty-menu,5,listItem,Blog
QUICK VISION ACTIVE,nav.mty-menu,6,link,Blog
QUICK VISION ACTIVE,nav.mty-menu,7,listItem,Case Studies
QUICK VISION ACTIVE,nav.mty-menu,8,link,Case Studies
QUICK VISION ACTIVE,nav.mty-menu,9,listItem,Contact
QUICK VISION ACTIVE,nav.mty-menu,10,link,Contact
QUICK VISION ACTIVE,mty-header-nav-area,11,button,Open menu
QUICK VISION ACTIVE,header.mty-header,12,button,Close menu
QUICK VISION ACTIVE,nav.mty-menu,13,listItem,Brand
QUICK VISION ACTIVE,nav.mty-menu,14,link,Brand
QUICK VISION ACTIVE,nav.mty-menu,15,listItem,Promotions
QUICK VISION ACTIVE,nav.mty-menu,16,link,Promotions
QUICK VISION ACTIVE,nav.mty-menu,17,listItem,Blog
QUICK VISION ACTIVE,nav.mty-menu,18,link,Blog
QUICK VISION ACTIVE,nav.mty-menu,19,listItem,Case Studies
QUICK VISION ACTIVE,nav.mty-menu,20,link,Case Studies
QUICK VISION ACTIVE,nav.mty-menu,21,listItem,Contact
QUICK VISION ACTIVE,nav.mty-menu,22,link,Contact
QUICK VISION ACTIVE,row-fluid-wrapper.row-depth-1,23,altText,HERO_WATCH_HERO_EDIT_25k mobile
QUICK VISION ACTIVE,row-fluid-wrapper.row-depth-1,24,paragraph,PRECISION YOU CAN COUNT ON
QUICK VISION ACTIVE,row-fluid-wrapper.row-depth-1,25,heading,QUICK VISION ACTIVE
QUICK VISION ACTIVE,row-fluid-wrapper.row-depth-1,26,heading,CNC SERIES
QUICK VISION ACTIVE,row-fluid-wrapper.row-depth-1,27,paragraph,Complete kit bundle from:
QUICK VISION ACTIVE,row-fluid-wrapper.row-depth-1,28,paragraph,29.999 €*
QUICK VISION ACTIVE,row-fluid-wrapper.row-depth-1,29,paragraph,Advance your quality control with:
QUICK VISION ACTIVE,row-fluid-wrapper.row-depth-1,30,listItem,Excellent optics
QUICK VISION ACTIVE,row-fluid-wrapper.row-depth-1,31,listItem,Powerful QVPAK software
QUICK VISION ACTIVE,row-fluid-wrapper.row-depth-1,32,listItem,High efficiency
QUICK VISION ACTIVE,row-fluid-wrapper.row-depth-1,33,paragraph,*Full package contains content as described. PC not included. Bundle price for QV 202 Model.
QUICK VISION ACTIVE,main.body-container-wrapper.mty-main,34,altText,robot-range-mobile
QUICK VISION ACTIVE,main.body-container-wrapper.mty-main,35,paragraph,RELIABLE & TRACEABLE
QUICK VISION ACTIVE,main.body-container-wrapper.mty-main,36,paragraph,Measurement volume:
QUICK VISION ACTIVE,main.body-container-wrapper.mty-main,37,paragraph,QV-Active 404: 400 x 400 x 200 mm
QUICK VISION ACTIVE,main.body-container-wrapper.mty-main,38,paragraph,QV-Active 202: 250 x 200 x 150 mm
QUICK VISION ACTIVE,main.body-container-wrapper.mty-main,39,paragraph,"QV-Active bundle brings you everything you need for CNC quality control of your delicate, small to medium-sized parts. Compact, high-quality optics, robust edge-detection, traceable – calibration chart included."
QUICK VISION ACTIVE,main.body-container-wrapper.mty-main,40,paragraph,WANT TO FIND OUT HOW MULTI-SENSORS BOOST FLEXIBILITY AND EXPAND THE CAPABILITIES OF STANDARD VISION SYSTEMS?
QUICK VISION ACTIVE,main.body-container-wrapper.mty-main,41,heading,Check out our latest whitepaper:
QUICK VISION ACTIVE,main.body-container-wrapper.mty-main,42,link,Download white paper
QUICK VISION ACTIVE,main.body-container-wrapper.mty-main,43,altText,QV Active - WhitePaper 1-2-1
QUICK VISION ACTIVE,main.body-container-wrapper.mty-main,44,altText,optics-mobile
QUICK VISION ACTIVE,main.body-container-wrapper.mty-main,45,heading,HYBRID ACCURACY THAT FULFILLS ALL YOUR NEEDS
QUICK VISION ACTIVE,main.body-container-wrapper.mty-main,46,paragraph,Measurements from low magnification wide view to high-magnification micro view: Powered by high-definition camera with 8 position zoom optical system and interchangeable lenses – combined with tactile precision. Long working distance avoids accidental collisions.
QUICK VISION ACTIVE,main.body-container-wrapper.mty-main,47,altText,lens-2
QUICK VISION ACTIVE,main.body-container-wrapper.mty-main,48,paragraph,2x LENS
QUICK VISION ACTIVE,main.body-container-wrapper.mty-main,49,heading,"340,- €"
QUICK VISION ACTIVE,main.body-container-wrapper.mty-main,50,altText,lens-15
QUICK VISION ACTIVE,main.body-container-wrapper.mty-main,51,paragraph,1.5x LENS
QUICK VISION ACTIVE,main.body-container-wrapper.mty-main,52,heading,included
QUICK VISION ACTIVE,main.body-container-wrapper.mty-main,53,altText,lens-1
QUICK VISION ACTIVE,main.body-container-wrapper.mty-main,54,paragraph,1x LENS
QUICK VISION ACTIVE,main.body-container-wrapper.mty-main,55,heading,"170,- €"
QUICK VISION ACTIVE,main.body-container-wrapper.mty-main,56,paragraph,3x3 – EVERYTHING AT ONCE:
QUICK VISION ACTIVE,main.body-container-wrapper.mty-main,57,paragraph,"WIDE, MID, CLOSE."
QUICK VISION ACTIVE,main.body-container-wrapper.mty-main,58,heading,"AND X, Y, Z."
QUICK VISION ACTIVE,main.body-container-wrapper.mty-main,59,paragraph,Unmatched lenses that provide unmatched in-depth accuracy.
QUICK VISION ACTIVE,main.body-container-wrapper.mty-main,60,paragraph,"Our Z-objective lenses are at the top range of what you can get in the industry. Unique and unmatched in price/performance ratio. They deliver highest accuracy in 3 Zoom Ranges and even 3 axis and dimensions, each."
QUICK VISION ACTIVE,main.body-container-wrapper.mty-main,61,paragraph,"The Precision Bundle includes the standard 1.5x Lens. Two optional lenses are available at a special price for a limited time. Giving you the precision you need, at all scales, fit for every measuring challenge."
QUICK VISION ACTIVE,main.body-container-wrapper.mty-main,62,altText,zoom7
QUICK VISION ACTIVE,main.body-container-wrapper.mty-main,63,paragraph,ZOOM 7x
QUICK VISION ACTIVE,main.body-container-wrapper.mty-main,64,altText,zoom4
QUICK VISION ACTIVE,main.body-container-wrapper.mty-main,65,paragraph,ZOOM 4x
QUICK VISION ACTIVE,main.body-container-wrapper.mty-main,66,altText,zoom1
QUICK VISION ACTIVE,main.body-container-wrapper.mty-main,67,paragraph,ZOOM 1x
QUICK VISION ACTIVE,main.body-container-wrapper.mty-main,68,paragraph,3X3 – EVERYTHING AT ONCE:
QUICK VISION ACTIVE,main.body-container-wrapper.mty-main,69,paragraph,"Wide, Mid, Close."
QUICK VISION ACTIVE,main.body-container-wrapper.mty-main,70,heading,"And X, Y, Z."
QUICK VISION ACTIVE,main.body-container-wrapper.mty-main,71,paragraph,Unmatched lenses that provide unmatched in-depth accuracy.
QUICK VISION ACTIVE,main.body-container-wrapper.mty-main,72,paragraph,"Our Z-objective lenses are at the top range of what you can get in the industry. Unique and unmatched in price/performance ratio. They deliver highest accuracy in 3 Zoom Ranges and even 3 axis and dimensions, each. The Precision Bundle includes the standard 1.5x Lens. Two optional lenses are available at a special price for a limited time. Giving you the precision you need, at all scales, fit for every measuring challenge."
QUICK VISION ACTIVE,main.body-container-wrapper.mty-main,73,altText,lens-2
QUICK VISION ACTIVE,main.body-container-wrapper.mty-main,74,paragraph,2x Lens
QUICK VISION ACTIVE,main.body-container-wrapper.mty-main,75,heading,"340,- €"
QUICK VISION ACTIVE,main.body-container-wrapper.mty-main,76,paragraph,Zoom 7x
QUICK VISION ACTIVE,main.body-container-wrapper.mty-main,77,altText,zoom7
QUICK VISION ACTIVE,main.body-container-wrapper.mty-main,78,altText,lens-15
QUICK VISION ACTIVE,main.body-container-wrapper.mty-main,79,paragraph,1.5x Lens
QUICK VISION ACTIVE,main.body-container-wrapper.mty-main,80,heading,included
QUICK VISION ACTIVE,main.body-container-wrapper.mty-main,81,paragraph,Zoom 4x
QUICK VISION ACTIVE,main.body-container-wrapper.mty-main,82,altText,zoom4
QUICK VISION ACTIVE,main.body-container-wrapper.mty-main,83,altText,lens-1
QUICK VISION ACTIVE,main.body-container-wrapper.mty-main,84,paragraph,1x Lens
QUICK VISION ACTIVE,main.body-container-wrapper.mty-main,85,heading,"170,- €"
QUICK VISION ACTIVE,main.body-container-wrapper.mty-main,86,paragraph,Zoom 1x
QUICK VISION ACTIVE,main.body-container-wrapper.mty-main,87,altText,zoom1
QUICK VISION ACTIVE,main.body-container-wrapper.mty-main,88,altText,screen_nez_Denoised beauty-removed-background copy-1
QUICK VISION ACTIVE,main.body-container-wrapper.mty-main,89,paragraph,UPGRADE TO PRO-PRODUCTIVITY.
QUICK VISION ACTIVE,main.body-container-wrapper.mty-main,90,heading,QVPAK INCLUDED.
QUICK VISION ACTIVE,main.body-container-wrapper.mty-main,91,heading,QV3DCAD2 AS THE PERFECT ADD-ON
QUICK VISION ACTIVE,main.body-container-wrapper.mty-main,92,paragraph,"While QVPAK software suite is included in the bundle, QV3DCAD2 completes perfection and raises efficiency via on- or off-line programming from 3D-CAD files. Easy. Intuitive. No advanced skillset needed."
QUICK VISION ACTIVE,main.body-container-wrapper.mty-main,93,paragraph,QV3DCAD2
QUICK VISION ACTIVE,main.body-container-wrapper.mty-main,94,heading,SPECIAL PRICE 765 €
QUICK VISION ACTIVE,main.body-container-wrapper.mty-main,95,heading,JOIN OUR WEBINAR
QUICK VISION ACTIVE,main.body-container-wrapper.mty-main,96,paragraph,AND LEARN HOW QUICKVISION WILL BOOST YOUR PRODUCTIVITY
QUICK VISION ACTIVE,main.body-container-wrapper.mty-main,97,paragraph,HYBRID FLEXIBILITY
QUICK VISION ACTIVE,main.body-container-wrapper.mty-main,98,paragraph,Wide application spectrum for both non-contact as tactile applications
QUICK VISION ACTIVE,main.body-container-wrapper.mty-main,99,paragraph,ZOOM FROM WIDE TO MICRO
QUICK VISION ACTIVE,main.body-container-wrapper.mty-main,100,paragraph,Magnifications from wide field to micro field. Interchangeable lenses in combination with 8x optical zoom
QUICK VISION ACTIVE,main.body-container-wrapper.mty-main,101,paragraph,AUTOMATIC EDGE DETECTION
QUICK VISION ACTIVE,main.body-container-wrapper.mty-main,102,paragraph,High-quality optics with long working distance. Accurate automatic edge detection
QUICK VISION ACTIVE,main.body-container-wrapper.mty-main,103,paragraph,"FAST RAMP-UP, USER FRIENDLY"
QUICK VISION ACTIVE,main.body-container-wrapper.mty-main,104,paragraph,QVEasyEditor for easy program creation. Operators are up to speed in 1–2 days with intuitive workflows.
QUICK VISION ACTIVE,main.body-container-wrapper.mty-main,105,paragraph,TRUSTED SOFTWARE
QUICK VISION ACTIVE,main.body-container-wrapper.mty-main,106,paragraph,"Proven QVPAK software, over 30 years of experience in vision measurement"
QUICK VISION ACTIVE,main.body-container-wrapper.mty-main,107,paragraph,EXTENDS WITH YOUR NEEDS
QUICK VISION ACTIVE,main.body-container-wrapper.mty-main,108,paragraph,Retrofittable touch probe option
QUICK VISION ACTIVE,main.body-container-wrapper.mty-main,109,paragraph,AUTOMATION READY
QUICK VISION ACTIVE,main.body-container-wrapper.mty-main,110,paragraph,prepared for seamless integration in full automated manufacturing
QUICK VISION ACTIVE,main.body-container-wrapper.mty-main,111,paragraph,COST SAVING
QUICK VISION ACTIVE,main.body-container-wrapper.mty-main,112,paragraph,automatic CNC measurements cycles reduce man-hours
QUICK VISION ACTIVE,main.body-container-wrapper.mty-main,113,link,WEBINAR COMING SOON
QUICK VISION ACTIVE,main.body-container-wrapper.mty-main,114,link,Download Spec Sheet
QUICK VISION ACTIVE,main.body-container-wrapper.mty-main,115,paragraph,TWO MODELS.
QUICK VISION ACTIVE,main.body-container-wrapper.mty-main,116,paragraph,EACH A BUNDLED FORCE
QUICK VISION ACTIVE,main.body-container-wrapper.mty-main,117,paragraph,BOTH: FITTING TO YOUR NEEDS.
QUICK VISION ACTIVE,main.body-container-wrapper.mty-main,118,paragraph,AND YOUR BUDGET.
QUICK VISION ACTIVE,main.body-container-wrapper.mty-main,119,paragraph,"For a limited time each model bundle comes as an fully integrated PRECISION KIT Solution. Consisting of extras, all-ready included as:"
